sample_id,error_type,loss,spearman
im106,semantically_wrong_color,convnext_perceptual,0.9999999999999998
im106,semantically_wrong_color,dinov3_perceptual,0.9999999999999998
im106,plausible_alternative_colorization,huber_ab,0.9999999999999998
im106,plausible_alternative_colorization,gradient_ab,0.9999999999999998
im106,plausible_alternative_colorization,lpips_vgg,0.9999999999999998
im106,plausible_alternative_colorization,convnext_perceptual,0.9999999999999998
im106,plausible_alternative_colorization,dinov3_perceptual,0.9999999999999998
im107,wrong_hue,huber_ab,0.9999999999999998
im107,wrong_hue,gradient_ab,0.9999999999999998
im107,wrong_hue,lpips_vgg,0.9999999999999998
im107,wrong_hue,convnext_perceptual,0.9999999999999998
im107,wrong_hue,dinov3_perceptual,0.9999999999999998
im107,low_saturation,huber_ab,0.9999999999999998
im107,low_saturation,gradient_ab,0.9999999999999998
im107,low_saturation,lpips_vgg,0.9999999999999998
im107,low_saturation,convnext_perceptual,0.7999999999999998
im107,low_saturation,dinov3_perceptual,0.9999999999999998
im107,color_bleeding,huber_ab,0.9999999999999998
im107,color_bleeding,gradient_ab,0.9999999999999998
im107,color_bleeding,lpips_vgg,0.9999999999999998
im107,color_bleeding,convnext_perceptual,0.9999999999999998
im107,color_bleeding,dinov3_perceptual,0.9999999999999998
im107,subtle_color_error,huber_ab,0.9999999999999998
im107,subtle_color_error,gradient_ab,0.9999999999999998
im107,subtle_color_error,lpips_vgg,0.9999999999999998
im107,subtle_color_error,convnext_perceptual,0.9999999999999998
im107,subtle_color_error,dinov3_perceptual,0.9999999999999998
im107,semantically_wrong_color,huber_ab,0.9999999999999998
im107,semantically_wrong_color,gradient_ab,0.9999999999999998
im107,semantically_wrong_color,lpips_vgg,0.9999999999999998
im107,semantically_wrong_color,convnext_perceptual,0.7999999999999998
im107,semantically_wrong_color,dinov3_perceptual,0.9999999999999998
im107,plausible_alternative_colorization,huber_ab,0.9999999999999998
im107,plausible_alternative_colorization,gradient_ab,0.9999999999999998
im107,plausible_alternative_colorization,lpips_vgg,0.9999999999999998
im107,plausible_alternative_colorization,convnext_perceptual,0.7999999999999998
im107,plausible_alternative_colorization,dinov3_perceptual,0.9999999999999998
im109,wrong_hue,huber_ab,0.9999999999999998
im109,wrong_hue,gradient_ab,0.9999999999999998
im109,wrong_hue,lpips_vgg,0.9999999999999998
im109,wrong_hue,convnext_perceptual,0.9999999999999998
im109,wrong_hue,dinov3_perceptual,0.9999999999999998
im109,low_saturation,huber_ab,0.9999999999999998
im109,low_saturation,gradient_ab,0.9999999999999998
im109,low_saturation,lpips_vgg,0.9999999999999998
im109,low_saturation,convnext_perceptual,0.9999999999999998
im109,low_saturation,dinov3_perceptual,0.9999999999999998
im109,color_bleeding,huber_ab,0.9999999999999998
im109,color_bleeding,gradient_ab,0.9999999999999998
im109,color_bleeding,lpips_vgg,0.9999999999999998
im109,color_bleeding,convnext_perceptual,0.9999999999999998
im109,color_bleeding,dinov3_perceptual,0.9999999999999998
im109,subtle_color_error,huber_ab,0.9999999999999998
im109,subtle_color_error,gradient_ab,0.9999999999999998
im109,subtle_color_error,lpips_vgg,0.9999999999999998
im109,subtle_color_error,convnext_perceptual,0.9999999999999998
im109,subtle_color_error,dinov3_perceptual,0.9999999999999998
im109,semantically_wrong_color,huber_ab,0.9999999999999998
im109,semantically_wrong_color,gradient_ab,0.9999999999999998
im109,semantically_wrong_color,lpips_vgg,0.9999999999999998
im109,semantically_wrong_color,convnext_perceptual,0.9999999999999998
im109,semantically_wrong_color,dinov3_perceptual,0.9999999999999998
im109,plausible_alternative_colorization,huber_ab,0.9999999999999998
im109,plausible_alternative_colorization,gradient_ab,0.9999999999999998
im109,plausible_alternative_colorization,lpips_vgg,0.9999999999999998
im109,plausible_alternative_colorization,convnext_perceptual,0.9999999999999998
im109,plausible_alternative_colorization,dinov3_perceptual,0.9999999999999998
im110,wrong_hue,huber_ab,0.9999999999999998
im110,wrong_hue,gradient_ab,0.9999999999999998
im110,wrong_hue,lpips_vgg,0.9999999999999998
im110,wrong_hue,convnext_perceptual,0.9999999999999998
im110,wrong_hue,dinov3_perceptual,0.9999999999999998
im110,low_saturation,huber_ab,0.9999999999999998
im110,low_saturation,gradient_ab,0.9999999999999998
im110,low_saturation,lpips_vgg,0.9999999999999998
im110,low_saturation,convnext_perceptual,0.9999999999999998
im110,low_saturation,dinov3_perceptual,0.9999999999999998
im110,color_bleeding,huber_ab,0.9999999999999998
im110,color_bleeding,gradient_ab,0.9999999999999998
im110,color_bleeding,lpips_vgg,0.9999999999999998
im110,color_bleeding,convnext_perceptual,0.9999999999999998
im110,color_bleeding,dinov3_perceptual,0.9999999999999998
im110,subtle_color_error,huber_ab,0.9999999999999998
im110,subtle_color_error,gradient_ab,0.9999999999999998
im110,subtle_color_error,lpips_vgg,0.9999999999999998
im110,subtle_color_error,convnext_perceptual,0.9999999999999998
im110,subtle_color_error,dinov3_perceptual,0.9999999999999998
im110,semantically_wrong_color,huber_ab,0.9999999999999998
im110,semantically_wrong_color,gradient_ab,0.9999999999999998
im110,semantically_wrong_color,lpips_vgg,0.9999999999999998
im110,semantically_wrong_color,convnext_perceptual,0.9999999999999998
im110,semantically_wrong_color,dinov3_perceptual,0.9999999999999998
im110,plausible_alternative_colorization,huber_ab,0.9999999999999998
im110,plausible_alternative_colorization,gradient_ab,0.9999999999999998
im110,plausible_alternative_colorization,lpips_vgg,0.9999999999999998
im110,plausible_alternative_colorization,convnext_perceptual,0.9999999999999998
im110,plausible_alternative_colorization,dinov3_perceptual,0.9999999999999998
im111,wrong_hue,huber_ab,0.9999999999999998
im111,wrong_hue,gradient_ab,0.9999999999999998
im111,wrong_hue,lpips_vgg,0.9999999999999998
im111,wrong_hue,convnext_perceptual,0.9999999999999998
im111,wrong_hue,dinov3_perceptual,0.9999999999999998
im111,low_saturation,huber_ab,0.9999999999999998
im111,low_saturation,gradient_ab,0.9999999999999998
im111,low_saturation,lpips_vgg,0.9999999999999998
im111,low_saturation,convnext_perceptual,0.9999999999999998
im111,low_saturation,dinov3_perceptual,0.9999999999999998
im111,color_bleeding,huber_ab,0.9999999999999998
im111,color_bleeding,gradient_ab,0.9999999999999998
im111,color_bleeding,lpips_vgg,0.9999999999999998
im111,color_bleeding,convnext_perceptual,0.9999999999999998
im111,color_bleeding,dinov3_perceptual,0.9999999999999998
im111,subtle_color_error,huber_ab,0.9999999999999998
im111,subtle_color_error,gradient_ab,0.9999999999999998
im111,subtle_color_error,lpips_vgg,0.9999999999999998
im111,subtle_color_error,convnext_perceptual,0.9999999999999998
im111,subtle_color_error,dinov3_perceptual,0.9999999999999998
im111,semantically_wrong_color,huber_ab,0.9999999999999998
im111,semantically_wrong_color,gradient_ab,0.9999999999999998
im111,semantically_wrong_color,lpips_vgg,0.9999999999999998
im111,semantically_wrong_color,convnext_perceptual,0.9999999999999998
im111,semantically_wrong_color,dinov3_perceptual,0.9999999999999998
im111,plausible_alternative_colorization,huber_ab,0.9999999999999998
im111,plausible_alternative_colorization,gradient_ab,0.9999999999999998
im111,plausible_alternative_colorization,lpips_vgg,0.9999999999999998
im111,plausible_alternative_colorization,convnext_perceptual,0.9999999999999998
im111,plausible_alternative_colorization,dinov3_perceptual,0.9999999999999998
im114,wrong_hue,huber_ab,0.9999999999999998
im114,wrong_hue,gradient_ab,0.9999999999999998
im114,wrong_hue,lpips_vgg,0.9999999999999998
im114,wrong_hue,convnext_perceptual,0.9999999999999998
im114,wrong_hue,dinov3_perceptual,0.9999999999999998
im114,low_saturation,huber_ab,0.9999999999999998
im114,low_saturation,gradient_ab,0.9999999999999998
im114,low_saturation,lpips_vgg,0.9999999999999998
im114,low_saturation,convnext_perceptual,0.3999999999999999
im114,low_saturation,dinov3_perceptual,0.9999999999999998
im114,color_bleeding,huber_ab,0.9999999999999998
im114,color_bleeding,gradient_ab,0.9999999999999998
im114,color_bleeding,lpips_vgg,0.9999999999999998
im114,color_bleeding,convnext_perceptual,0.9999999999999998
im114,color_bleeding,dinov3_perceptual,0.9999999999999998
im114,subtle_color_error,huber_ab,0.9999999999999998
im114,subtle_color_error,gradient_ab,0.9999999999999998
im114,subtle_color_error,lpips_vgg,0.9999999999999998
im114,subtle_color_error,convnext_perceptual,0.9999999999999998
im114,subtle_color_error,dinov3_perceptual,0.9999999999999998
im114,semantically_wrong_color,huber_ab,0.9999999999999998
im114,semantically_wrong_color,gradient_ab,0.9999999999999998
im114,semantically_wrong_color,lpips_vgg,0.9999999999999998
im114,semantically_wrong_color,convnext_perceptual,0.9999999999999998
im114,semantically_wrong_color,dinov3_perceptual,0.9999999999999998
im114,plausible_alternative_colorization,huber_ab,0.9999999999999998
im114,plausible_alternative_colorization,gradient_ab,0.9999999999999998
im114,plausible_alternative_colorization,lpips_vgg,0.9999999999999998
im114,plausible_alternative_colorization,convnext_perceptual,0.9999999999999998
im114,plausible_alternative_colorization,dinov3_perceptual,0.9999999999999998
im115,wrong_hue,huber_ab,0.9999999999999998
im115,wrong_hue,gradient_ab,0.9999999999999998
im115,wrong_hue,lpips_vgg,0.9999999999999998
im115,wrong_hue,convnext_perceptual,0.9999999999999998
im115,wrong_hue,dinov3_perceptual,0.9999999999999998
im115,low_saturation,huber_ab,0.9999999999999998
im115,low_saturation,gradient_ab,0.9999999999999998
im115,low_saturation,lpips_vgg,0.9999999999999998
im115,low_saturation,convnext_perceptual,0.9999999999999998
im115,low_saturation,dinov3_perceptual,0.9999999999999998
im115,color_bleeding,huber_ab,0.9999999999999998
im115,color_bleeding,gradient_ab,0.9999999999999998
im115,color_bleeding,lpips_vgg,0.9999999999999998
im115,color_bleeding,convnext_perceptual,0.9999999999999998
im115,color_bleeding,dinov3_perceptual,0.9999999999999998
im115,subtle_color_error,huber_ab,0.9999999999999998
im115,subtle_color_error,gradient_ab,0.9999999999999998
im115,subtle_color_error,lpips_vgg,0.9999999999999998
im115,subtle_color_error,convnext_perceptual,0.9999999999999998
im115,subtle_color_error,dinov3_perceptual,0.9999999999999998
im115,semantically_wrong_color,huber_ab,0.9999999999999998
im115,semantically_wrong_color,gradient_ab,0.9999999999999998
im115,semantically_wrong_color,lpips_vgg,0.9999999999999998
im115,semantically_wrong_color,convnext_perceptual,0.9999999999999998
im115,semantically_wrong_color,dinov3_perceptual,0.9999999999999998
im115,plausible_alternative_colorization,huber_ab,0.9999999999999998
im115,plausible_alternative_colorization,gradient_ab,0.9999999999999998
im115,plausible_alternative_colorization,lpips_vgg,0.9999999999999998
im115,plausible_alternative_colorization,convnext_perceptual,0.9999999999999998
im115,plausible_alternative_colorization,dinov3_perceptual,0.9999999999999998
im117,wrong_hue,huber_ab,0.9999999999999998
im117,wrong_hue,gradient_ab,0.9999999999999998
im117,wrong_hue,lpips_vgg,0.9999999999999998
im117,wrong_hue,convnext_perceptual,0.9999999999999998
im117,wrong_hue,dinov3_perceptual,0.9999999999999998
im117,low_saturation,huber_ab,0.9999999999999998
im117,low_saturation,gradient_ab,0.9999999999999998
im117,low_saturation,lpips_vgg,0.9999999999999998
im117,low_saturation,convnext_perceptual,0.9999999999999998
im117,low_saturation,dinov3_perceptual,0.9999999999999998
im117,color_bleeding,huber_ab,0.9999999999999998
im117,color_bleeding,gradient_ab,0.9999999999999998
im117,color_bleeding,lpips_vgg,0.9999999999999998
im117,color_bleeding,convnext_perceptual,0.9999999999999998
im117,color_bleeding,dinov3_perceptual,0.9999999999999998
im117,subtle_color_error,huber_ab,0.9999999999999998
im117,subtle_color_error,gradient_ab,0.9999999999999998
