error_type,metric,target,n,pearson,spearman
plausible_alternative_colorization,huber_ab,severity_level,616,0.6013277387862543,0.6956061014030818
plausible_alternative_colorization,gradient_ab,severity_ab,616,0.6064913214461946,0.6878081123525248
plausible_alternative_colorization,gradient_ab,severity_level,616,0.7047648521505915,0.774867146435594
plausible_alternative_colorization,lpips_vgg,severity_ab,616,0.8805108252080622,0.8803692137407599
plausible_alternative_colorization,lpips_vgg,severity_level,616,0.7187946198331466,0.8314693473385891
plausible_alternative_colorization,convnext_perceptual,severity_ab,616,0.4698707056138219,0.5797846775116808
plausible_alternative_colorization,convnext_perceptual,severity_level,616,0.40991969182591265,0.5809074406869286
plausible_alternative_colorization,dinov3_perceptual,severity_ab,616,0.755239098029585,0.8001025736330319
plausible_alternative_colorization,dinov3_perceptual,severity_level,616,0.7686987072140927,0.8586109681985943
plausible_alternative_colorization,gradient_norm_huber_ab,severity_ab,616,0.7548813146807545,0.8941406223929845
plausible_alternative_colorization,gradient_norm_huber_ab,severity_level,616,0.5965748132457861,0.5862884058333616
plausible_alternative_colorization,gradient_norm_gradient_ab,severity_ab,616,-0.3150561669193247,-0.35039657284663406
plausible_alternative_colorization,gradient_norm_gradient_ab,severity_level,616,-1.0928355603845396e-05,-0.0005919883590509604
plausible_alternative_colorization,gradient_norm_lpips_vgg,severity_ab,616,0.1737888600979662,0.41811882626603747
plausible_alternative_colorization,gradient_norm_lpips_vgg,severity_level,616,0.22167842165041296,0.4942894159929047
plausible_alternative_colorization,gradient_norm_convnext_perceptual,severity_ab,616,0.07303457048117189,0.171826185436495
plausible_alternative_colorization,gradient_norm_convnext_perceptual,severity_level,616,0.06735851261835385,0.19317583222202261
plausible_alternative_colorization,gradient_norm_dinov3_perceptual,severity_ab,616,0.2350403320130446,0.4765161312182699
plausible_alternative_colorization,gradient_norm_dinov3_perceptual,severity_level,616,0.2760246433573433,0.49159485074507026
plausible_alternative_colorization,gradient_rms_huber_ab,severity_ab,616,0.7548813141533615,0.8941406223929845
plausible_alternative_colorization,gradient_rms_huber_ab,severity_level,616,0.5965748139508874,0.5862884058333616
plausible_alternative_colorization,gradient_rms_gradient_ab,severity_ab,616,-0.315056147025904,-0.3503946354864642
plausible_alternative_colorization,gradient_rms_gradient_ab,severity_level,616,-1.0904226722747245e-05,-0.0005919883818446957
plausible_alternative_colorization,gradient_rms_lpips_vgg,severity_ab,616,0.17378885836646618,0.41811882626603747
plausible_alternative_colorization,gradient_rms_lpips_vgg,severity_level,616,0.22167842233952997,0.4942894159929047
plausible_alternative_colorization,gradient_rms_convnext_perceptual,severity_ab,616,0.07303457095717464,0.171826185436495
plausible_alternative_colorization,gradient_rms_convnext_perceptual,severity_level,616,0.0673585131559549,0.19317583222202261
plausible_alternative_colorization,gradient_rms_dinov3_perceptual,severity_ab,616,0.23504033662973087,0.4765161312182699
plausible_alternative_colorization,gradient_rms_dinov3_perceptual,severity_level,616,0.276024646291114,0.49159485074507026
semantically_wrong_color,huber_ab,severity_ab,616,0.9941797405412132,0.9955973938699165
semantically_wrong_color,huber_ab,severity_level,616,0.6184636597728168,0.7129574685292884
semantically_wrong_color,gradient_ab,severity_ab,616,0.7340889784171688,0.7823238626416871
semantically_wrong_color,gradient_ab,severity_level,616,0.5510689796250382,0.6226895327268342
semantically_wrong_color,lpips_vgg,severity_ab,616,0.8934083111111156,0.9003232250218061
semantically_wrong_color,lpips_vgg,severity_level,616,0.6366497381382302,0.7414300413147391
semantically_wrong_color,convnext_perceptual,severity_ab,616,0.518409521579651,0.6755244320844986
semantically_wrong_color,convnext_perceptual,severity_level,616,0.3370646826385184,0.4968043435575502
semantically_wrong_color,dinov3_perceptual,severity_ab,616,0.8300528346706777,0.8444414896484314
semantically_wrong_color,dinov3_perceptual,severity_level,616,0.616696801812585,0.6936219215387672
semantically_wrong_color,gradient_norm_huber_ab,severity_ab,616,0.7174590261473061,0.8601665204384896
semantically_wrong_color,gradient_norm_huber_ab,severity_level,616,0.617613072166094,0.6126298224682523
semantically_wrong_color,gradient_norm_gradient_ab,severity_ab,616,-0.2499749562659796,-0.2627220319829334
semantically_wrong_color,gradient_norm_gradient_ab,severity_level,616,-2.628467651461134e-05,0.0004613427292006419
semantically_wrong_color,gradient_norm_lpips_vgg,severity_ab,616,0.24548781041749365,0.5228097474727511
semantically_wrong_color,gradient_norm_lpips_vgg,severity_level,616,0.23985713500376638,0.463212096801214
semantically_wrong_color,gradient_norm_convnext_perceptual,severity_ab,616,0.11509560873455518,0.28927171180402794
semantically_wrong_color,gradient_norm_convnext_perceptual,severity_level,616,0.06984625979384783,0.21269101689573275
semantically_wrong_color,gradient_norm_dinov3_perceptual,severity_ab,616,0.17101339008951216,0.5697845183634014
semantically_wrong_color,gradient_norm_dinov3_perceptual,severity_level,616,0.11440190602801509,0.4121868294263125
semantically_wrong_color,gradient_rms_huber_ab,severity_ab,616,0.7174590318080842,0.8601665204384896
semantically_wrong_color,gradient_rms_huber_ab,severity_level,616,0.6176130776225071,0.6126298224682523
semantically_wrong_color,gradient_rms_gradient_ab,severity_ab,616,-0.24997495651503632,-0.262715493104835
semantically_wrong_color,gradient_rms_gradient_ab,severity_level,616,-2.6290573024929177e-05,0.00046950809929145705
semantically_wrong_color,gradient_rms_lpips_vgg,severity_ab,616,0.24548780690258945,0.5228097474727511
semantically_wrong_color,gradient_rms_lpips_vgg,severity_level,616,0.23985712966643857,0.463212096801214
semantically_wrong_color,gradient_rms_convnext_perceptual,severity_ab,616,0.11509560748269701,0.28927171180402794
semantically_wrong_color,gradient_rms_convnext_perceptual,severity_level,616,0.06984625642787753,0.21269101689573275
semantically_wrong_color,gradient_rms_dinov3_perceptual,severity_ab,616,0.17101339145541994,0.5697845183634014
semantically_wrong_color,gradient_rms_dinov3_perceptual,severity_level,616,0.11440190671856122,0.4121868294263125
subtle_color_error,huber_ab,severity_ab,616,0.9609124481246075,0.9808760753418224
subtle_color_error,huber_ab,severity_level,616,0.5465148212570036,0.7082868887663754
subtle_color_error,gradient_ab,severity_ab,616,0.6955881530625737,0.750784729363217
subtle_color_error,gradient_ab,severity_level,616,0.6088657840133698,0.7300802058768909
subtle_color_error,lpips_vgg,severity_ab,616,0.6801659581700388,0.8721713831885
subtle_color_error,lpips_vgg,severity_level,616,0.3786075166581629,0.7440674491179226
subtle_color_error,convnext_perceptual,severity_ab,616,0.468391155892837,0.653382080622465
subtle_color_error,convnext_perceptual,severity_level,616,0.18500250018813633,0.5344710995825814
subtle_color_error,dinov3_perceptual,severity_ab,616,0.5368068686234201,0.8180233886365049
subtle_color_error,dinov3_perceptual,severity_level,616,0.2349237054801352,0.6749640985348226
subtle_color_error,gradient_norm_huber_ab,severity_ab,616,0.9627411418285237,0.9861780746035798
subtle_color_error,gradient_norm_huber_ab,severity_level,616,0.6600511734187116,0.6931891580292666
subtle_color_error,gradient_norm_gradient_ab,severity_ab,616,0.05685148853810001,0.04003018426997565
subtle_color_error,gradient_norm_gradient_ab,severity_level,616,-0.0005441001402017341,-0.0013391173606161345
subtle_color_error,gradient_norm_lpips_vgg,severity_ab,616,0.49306303001765756,0.6508664597054526
subtle_color_error,gradient_norm_lpips_vgg,severity_level,616,0.22048260205230344,0.5376800818322752
subtle_color_error,gradient_norm_convnext_perceptual,severity_ab,616,0.2719866604560481,0.33343489731599
subtle_color_error,gradient_norm_convnext_perceptual,severity_level,616,0.14249075360834268,0.2810104939521899
subtle_color_error,gradient_norm_dinov3_perceptual,severity_ab,616,0.23747338047964228,0.5488767981830401
subtle_color_error,gradient_norm_dinov3_perceptual,severity_level,616,0.07420259987642594,0.4121051759339539
subtle_color_error,gradient_rms_huber_ab,severity_ab,616,0.9627411425515301,0.9861780746035798
subtle_color_error,gradient_rms_huber_ab,severity_level,616,0.6600511732658174,0.6931891580292666
subtle_color_error,gradient_rms_gradient_ab,severity_ab,616,0.0568514996891707,0.04004412412170697
subtle_color_error,gradient_rms_gradient_ab,severity_level,616,-0.0005441049917584708,-0.0013187040369913793
subtle_color_error,gradient_rms_lpips_vgg,severity_ab,616,0.4930630313991244,0.6508664597054526
subtle_color_error,gradient_rms_lpips_vgg,severity_level,616,0.22048260366192882,0.5376800818322752
subtle_color_error,gradient_rms_convnext_perceptual,severity_ab,616,0.2719866569307144,0.33343489731599
subtle_color_error,gradient_rms_convnext_perceptual,severity_level,616,0.14249075001164438,0.2810104939521899
subtle_color_error,gradient_rms_dinov3_perceptual,severity_ab,616,0.2374733827842264,0.5488767981830401
subtle_color_error,gradient_rms_dinov3_perceptual,severity_level,616,0.07420260111320352,0.4121051759339539
wrong_hue,huber_ab,severity_ab,616,0.9933658746445677,0.9956989407398549
wrong_hue,huber_ab,severity_level,616,0.61843958747539,0.698014879427661
wrong_hue,gradient_ab,severity_ab,616,0.6416275239610738,0.7199366076466129
wrong_hue,gradient_ab,severity_level,616,0.5956695942201319,0.6965696126129134
wrong_hue,lpips_vgg,severity_ab,616,0.8658450718294686,0.8930123637677895
wrong_hue,lpips_vgg,severity_level,616,0.7148904633601084,0.802727318028355
wrong_hue,convnext_perceptual,severity_ab,616,0.5460724849029859,0.6441171351872227
wrong_hue,convnext_perceptual,severity_level,616,0.30949724712322263,0.5244930428163581
wrong_hue,dinov3_perceptual,severity_ab,616,0.7854951482004651,0.8266146234680054
wrong_hue,dinov3_perceptual,severity_level,616,0.7019041918283935,0.822895730640934
wrong_hue,gradient_norm_huber_ab,severity_ab,616,0.7581283572325268,0.872063943623313
wrong_hue,gradient_norm_huber_ab,severity_level,616,0.5470669842732234,0.5346548268024365
wrong_hue,gradient_norm_gradient_ab,severity_ab,616,-0.029226656711213928,-0.06882635270974094
wrong_hue,gradient_norm_gradient_ab,severity_level,616,8.549463971236167e-05,-6.124015070853618e-05
wrong_hue,gradient_norm_lpips_vgg,severity_ab,616,0.4835893206811063,0.557987985845044
wrong_hue,gradient_norm_lpips_vgg,severity_level,616,0.3444137894914464,0.5272039387626644
wrong_hue,gradient_norm_convnext_perceptual,severity_ab,616,0.2536379210132072,0.2484518722768318
wrong_hue,gradient_norm_convnext_perceptual,severity_level,616,0.127001674909721,0.18795000871107095
wrong_hue,gradient_norm_dinov3_perceptual,severity_ab,616,0.34969767026923987,0.5976699665121218
wrong_hue,gradient_norm_dinov3_perceptual,severity_level,616,0.23673864026250457,0.593302440826967
wrong_hue,gradient_rms_huber_ab,severity_ab,616,0.7581283590530443,0.872063943623313
wrong_hue,gradient_rms_huber_ab,severity_level,616,0.5470669848954512,0.5346548268024365
wrong_hue,gradient_rms_gradient_ab,severity_ab,616,-0.029226669363107197,-0.06882080906947431
wrong_hue,gradient_rms_gradient_ab,severity_level,616,8.549670225583829e-05,-6.532282826082781e-05
wrong_hue,gradient_rms_lpips_vgg,severity_ab,616,0.4835893167053467,0.557987985845044
wrong_hue,gradient_rms_lpips_vgg,severity_level,616,0.3444137852944715,0.5272039387626644
wrong_hue,gradient_rms_convnext_perceptual,severity_ab,616,0.2536379209258401,0.2484518722768318
wrong_hue,gradient_rms_convnext_perceptual,severity_level,616,0.127001675499951,0.18795000871107095
wrong_hue,gradient_rms_dinov3_perceptual,severity_ab,616,0.3496976665759121,0.5976699665121218
wrong_hue,gradient_rms_dinov3_perceptual,severity_level,616,0.23673863872817677,0.593302440826967
