sample_id,error_type,severity_level,severity_ab,huber_ab,gradient_ab,lpips_vgg,convnext_perceptual,dinov3_perceptual,gradient_norm_huber_ab,gradient_norm_gradient_ab,gradient_norm_lpips_vgg,gradient_norm_convnext_perceptual,gradient_norm_dinov3_perceptual,gradient_rms_huber_ab,gradient_rms_gradient_ab,gradient_rms_lpips_vgg,gradient_rms_convnext_perceptual,gradient_rms_dinov3_perceptual
im101,wrong_hue,0.25,1.6897377967834473,0.29908856749534607,0.12224854528903961,0.007538534700870514,5.532907485961914,0.000703787780366838,0.0008343239896930754,0.002326276386156678,0.0001495796168455854,14.150269508361816,8.467034058412537e-05,2.304516328877071e-06,6.425491392292315e-06,4.131592277190066e-07,0.039084967225790024,2.3387099190586014e-07
im101,wrong_hue,0.5,3.3794755935668945,0.9400854110717773,0.24449709057807922,0.02793966978788376,21.769229888916016,0.002871195087209344,0.0012712188763543963,0.0023278645239770412,0.00024362833937630057,36.47258758544922,0.00013100063370075077,3.5112793739244808e-06,6.429878339986317e-06,6.72934561407601e-07,0.10074223577976227,3.618415291839483e-07
im101,wrong_hue,0.75,5.069212913513184,1.7345459461212158,0.3667457103729248,0.05877402424812317,53.68303298950195,0.006631492171436548,0.0015485923504456878,0.002326131332665682,0.0003305357531644404,61.73542404174805,0.0005347238038666546,4.277422704035416e-06,6.425090759876184e-06,9.129846603173064e-07,0.17052163183689117,1.4769798326597083e-06
im101,wrong_hue,1.0,6.758950710296631,2.6010475158691406,0.48899421095848083,0.0947408527135849,92.27349090576172,0.011633721180260181,0.0017056476790457964,0.0023260051384568214,0.0004252811777405441,74.58202362060547,0.0002179842267651111,4.711230758402962e-06,6.424742423405405e-06,1.1746843711080146e-06,0.20600567758083344,6.021020908519858e-07
im101,low_saturation,0.25,1.2496522665023804,0.1731719970703125,0.08831410109996796,0.002528789918869734,4.324236869812012,0.0003035709378309548,0.0007040845230221748,0.002337515586987138,0.0001052982042892836,15.847718238830566,0.00010318959539290518,1.9447770682745613e-06,6.456535629695281e-06,2.908479359575722e-07,0.043773550540208817,2.850236739959655e-07
im101,low_saturation,0.5,2.4993045330047607,0.6118975877761841,0.17662818729877472,0.010500423610210419,17.87704086303711,0.0012480155564844608,0.0011495135258883238,0.0023343637585639954,0.00019344763131812215,29.19956398010254,0.0001503635721746832,3.175112397002522e-06,6.44782949166256e-06,5.343286488823651e-07,0.08065316081047058,4.1532464933879965e-07
im101,low_saturation,0.75,3.7489566802978516,1.1946132183074951,0.2649422883987427,0.024745073169469833,29.970081329345703,0.0030592933762818575,0.0014751686248928308,0.0023342883214354515,0.000261621578829363,33.8401985168457,0.0002724621444940567,4.0746162994764745e-06,6.447621672123205e-06,7.226343541333335e-07,0.0934712216258049,7.525774208261282e-07
im101,low_saturation,1.0,4.9986090660095215,1.8719148635864258,0.35325634479522705,0.046378880739212036,47.66142654418945,0.005978690460324287,0.0017206298653036356,0.002334332326427102,0.0003202651278115809,60.541664123535156,0.00021687547268811613,4.752613676828332e-06,6.447743089665892e-06,8.846157584230241e-07,0.16722430288791656,5.990395379740221e-07
im101,color_bleeding,0.25,0.22183412313461304,0.009422527626156807,0.06701156497001648,0.0005868733860552311,1.8363295793533325,0.00014548916078638285,0.00016957380285020918,0.002469021361321211,5.373762905946933e-05,10.912904739379883,8.639459701953456e-05,4.683858776388661e-07,6.819772352173459e-06,1.4843062956515496e-07,0.030142925679683685,2.3863361775511294e-07
im101,color_bleeding,0.5,0.44366827607154846,0.03758276253938675,0.13402248919010162,0.002317805541679263,8.949332237243652,0.0006061538006179035,0.00033548776991665363,0.002469443017616868,0.00010163147817365825,25.731651306152344,0.00017890769231598824,9.266627785109449e-07,6.820936960139079e-06,2.80719945067176e-07,0.07107432186603546,4.941673523717327e-07
im101,color_bleeding,0.75,0.6655024290084839,0.08305114507675171,0.20103341341018677,0.005163382738828659,24.149173736572266,0.0013738570269197226,0.0004834714054595679,0.002469811122864485,0.00014926676522009075,42.39874267578125,0.00028415536507964134,1.3354136854104581e-06,6.821954229963012e-06,4.122950940654846e-07,0.11711108684539795,7.848757377360016e-07
im101,color_bleeding,1.0,0.8873364925384521,0.14306074380874634,0.2680443525314331,0.009103834629058838,55.56181716918945,0.002483746036887169,0.0006109012174420059,0.0024695973843336105,0.0001897621259558946,91.1270980834961,0.0004274723760318011,1.6873921140359016e-06,6.8213635131542105e-06,5.241487883722584e-07,0.25170543789863586,1.180736830974638e-06
im101,subtle_color_error,0.25,0.2783365845680237,0.009127756580710411,0.02433331310749054,0.0002209927624789998,0.5565140247344971,3.064180418732576e-05,0.00016690028132870793,0.0024211250711232424,2.8910309993079863e-05,4.961824417114258,2.648263944138307e-05,4.610012354078208e-07,6.687476343358867e-06,7.985420324985171e-08,0.013705232180655003,7.314864802765442e-08
im101,subtle_color_error,0.5,0.5566731691360474,0.036511048674583435,0.048666514456272125,0.0008582801092416048,2.0570173263549805,0.000108069070847705,0.00033380064996890724,0.0024156910367310047,5.287735621095635e-05,9.176626205444336,4.073250602232292e-05,9.220027550327359e-07,6.672466952295508e-06,1.4605444675908075e-07,0.025347089394927025,1.1250871523316164e-07
im101,subtle_color_error,0.75,0.8350098133087158,0.08213892579078674,0.0729997456073761,0.0019117490155622363,4.361963748931885,0.00023663294268772006,0.0004997676005586982,0.002413389040157199,7.65922522987239e-05,12.302948951721191,5.8299690863350406e-05,1.3804260561300907e-06,6.666108674835414e-06,2.1155820206786302e-07,0.03398241847753525,1.6103166444736416e-07
im101,subtle_color_error,1.0,1.1133463382720947,0.14479973912239075,0.09733298420906067,0.0033936116378754377,7.571340560913086,0.0004138294607400894,0.0006417858530767262,0.0024117843713611364,0.00010007348464569077,15.358162879943848,9.877039701677859e-05,1.7726997612044215e-06,6.6616757976589724e-06,2.764165571988997e-07,0.042421333491802216,2.7281726033834275e-07
