error_type,loss,n,mean_loss,median_loss,mean_gradient_norm,median_gradient_norm,mean_gradient_rms,median_gradient_rms,loss_share_across_types,gradient_rms_share_across_types
color_bleeding,huber_ab,616,0.3540184878137162,0.20007974654436111,0.0007539343130158702,0.0007198625535238534,2.082469009401954e-06,1.9883581217072788e-06,0.018319947751957406,0.08196228945168753
color_bleeding,gradient_ab,616,0.38402612397277897,0.3259613662958145,0.0028595381341541986,0.0029047438874840736,7.898432782044378e-06,8.023296686587855e-06,0.10489388896636422,0.1648175697251566
color_bleeding,lpips_vgg,616,0.015044860008596775,0.010900528635829687,0.0003149690759256645,0.0002283754656673409,8.699873782765659e-07,6.308040667590831e-07,0.03705836312950089,0.1270197248815002
color_bleeding,convnext_perceptual,616,79.9326391491023,43.186424255371094,106.89243671781831,54.42290496826172,0.29525143298163237,0.15032345801591873,0.10288107087189913,0.1781084211684349
color_bleeding,dinov3_perceptual,616,0.0034625583599548707,0.0025601936504244804,0.00016395499397441944,9.850219430518337e-05,4.528659678947867e-07,2.7207644848203927e-07,0.0589882921581042,0.12427981750012702
low_saturation,huber_ab,616,3.9313804531808603,2.7056875228881836,0.0018019524858183494,0.0018353700870648026,4.977237586580805e-06,5.069541430202662e-06,0.20344328608408208,0.1958952502531161
low_saturation,gradient_ab,616,0.5082470366410766,0.4274146109819412,0.0027071407606051147,0.002762528951279819,7.4774905703941535e-06,7.630480240550241e-06,0.13882391040847958,0.15603371674654518
low_saturation,lpips_vgg,616,0.05351925032404584,0.0357230007648468,0.00043524775894963696,0.0003698694199556485,1.2022134459314955e-06,1.0216296004728065e-06,0.13182813344849023,0.17552532940600266
low_saturation,convnext_perceptual,616,97.99709065500404,52.15989303588867,102.93358243072961,59.372724533081055,0.2843165396355159,0.16399552673101425,0.12613177465729433,0.17151202104311125
low_saturation,dinov3_perceptual,616,0.005941532102526678,0.0042606317438185215,0.0001624374555784063,0.00012436338874977082,4.486743221341407e-07,3.435085744740718e-07,0.10122019475078735,0.12312950591327956
plausible_alternative_colorization,huber_ab,616,4.757315134871509,3.350734233856201,0.001902664377159052,0.0019766526529565454,5.2554175141125736e-06,5.459783324113232e-06,0.2461842183685683,0.20684391918267492
plausible_alternative_colorization,gradient_ab,616,1.0802624909110463,0.9407976567745209,0.0031457024992310573,0.0032076240750029683,8.68885762157605e-06,8.85989356902428e-06,0.29506569137516103,0.18131146220951944
plausible_alternative_colorization,lpips_vgg,616,0.10150551555153624,0.0725519135594368,0.0005121771066303874,0.000411675195209682,1.414702751482274e-06,1.1371027994755423e-06,0.250027468039357,0.20654915090648054
plausible_alternative_colorization,convnext_perceptual,616,236.7020756600352,149.54986572265625,139.97297004813498,85.59421157836914,0.3866243608853048,0.2364228442311287,0.30465856351972087,0.2332285191883241
plausible_alternative_colorization,dinov3_perceptual,616,0.018906902073101632,0.014361164532601833,0.0002848939551201168,0.00018814350187312812,7.86915810700818e-07,5.196779397920182e-07,0.32209879151533527,0.21595297565963997
semantically_wrong_color,huber_ab,616,4.801973211325028,3.471713900566101,0.0019651310026642635,0.0020675394916906953,5.427958817216228e-06,5.710824780180701e-06,0.24849520961759564,0.21363483907800357
semantically_wrong_color,gradient_ab,616,0.7465242825254992,0.556889533996582,0.0029280192438700513,0.0029675813857465982,8.087586952097371e-06,8.196862836484797e-06,0.20390757376567173,0.16876467309006538
semantically_wrong_color,lpips_vgg,616,0.09752807774268811,0.07161427661776543,0.0004421644749621824,0.0003572455170797184,1.221318354939836e-06,9.867606536317908e-07,0.24023027919472328,0.178314680546858
semantically_wrong_color,convnext_perceptual,616,163.86619378955334,87.35836029052734,104.95953107296259,56.93704795837402,0.2899124846675028,0.15726786851882935,0.21091170861159697,0.17488773686784878
semantically_wrong_color,dinov3_perceptual,616,0.014494159891319804,0.010996594559401274,0.0002629673598832667,0.00016415346908615902,7.263515759191265e-07,4.5341415955135744e-07,0.24692312717195383,0.19933235812749595
subtle_color_error,huber_ab,616,0.4009200243556013,0.2052212581038475,0.000851450558652037,0.0007787552021909505,2.351822122260604e-06,2.151027729269117e-06,0.02074703483500823,0.09256355059946987
subtle_color_error,gradient_ab,616,0.1500047523416458,0.12373418360948563,0.002981886681541196,0.0030665008816868067,8.236376121711547e-06,8.470091870549368e-06,0.04097268611253873,0.17186947501899758
subtle_color_error,lpips_vgg,616,0.00958873062052873,0.004826343851163983,0.00020449194878939986,0.000136130242026411,5.64834543218237e-07,3.760102202932103e-07,0.02361887455805318,0.08246686110007079
subtle_color_error,convnext_perceptual,616,29.514049784026362,7.654397487640381,53.99956398002513,22.82316780090332,0.14915413231560173,0.06304068863391876,0.03798744893038198,0.08997621704729308
subtle_color_error,dinov3_perceptual,616,0.0011674552712248713,0.00045598541328217834,0.00010064447878431128,4.416815681906883e-05,2.7799372339452266e-07,1.2199845400573395e-07,0.01988881788014948,0.07628970083633832
wrong_hue,huber_ab,616,5.078601065406262,3.6861250400543213,0.001923418441026127,0.0019710068590939045,5.312743069255218e-06,5.4441886732092826e-06,0.26281030334278827,0.20910015143504798
wrong_hue,gradient_ab,616,0.7920268009864277,0.6264981925487518,0.0027274292866871753,0.0027605151990428567,7.533530229218079e-06,7.624918225701549e-06,0.21633624937178467,0.15720310320971587
wrong_hue,lpips_vgg,616,0.12879102233972692,0.10239025205373764,0.0005706359649841695,0.00045733114529866725,1.576174061709737e-06,1.2632107768695278e-06,0.31723688162987546,0.23012425315908777
wrong_hue,convnext_perceptual,616,168.93008882774936,96.27705001831055,91.39566443067092,54.119354248046875,0.2524472435546265,0.1494850069284439,0.21742943340910673,0.15228708468498792
wrong_hue,dinov3_perceptual,616,0.01472647025914373,0.01078065438196063,0.0003443424587457431,0.0002046344889095053,9.51120654270242e-07,5.652282766277494e-07,0.2508807765236699,0.2610156419631192
