sample_id,severity_level,loss,severity_difference,difference,semantic_greater
im106,1.0,convnext_perceptual,0.0,18.02906036376953,1.0
im106,1.0,dinov3_perceptual,0.0,0.022306211292743683,1.0
im107,0.25,huber_ab,2.384185791015625e-07,0.0646328330039978,1.0
im107,0.25,gradient_ab,2.384185791015625e-07,-0.12576580047607422,0.0
im107,0.25,lpips_vgg,2.384185791015625e-07,0.003356805071234703,1.0
im107,0.25,convnext_perceptual,2.384185791015625e-07,-8.177154541015625,0.0
im107,0.25,dinov3_perceptual,2.384185791015625e-07,0.00024324608966708183,1.0
im107,0.5,huber_ab,4.76837158203125e-07,0.17029547691345215,1.0
im107,0.5,gradient_ab,4.76837158203125e-07,-0.25153160095214844,0.0
im107,0.5,lpips_vgg,4.76837158203125e-07,0.01039140671491623,1.0
im107,0.5,convnext_perceptual,4.76837158203125e-07,-56.29736328125,0.0
im107,0.5,dinov3_perceptual,4.76837158203125e-07,0.0009105606004595757,1.0
im107,0.75,huber_ab,0.0,0.23895668983459473,1.0
im107,0.75,gradient_ab,0.0,-0.3772975206375122,0.0
im107,0.75,lpips_vgg,0.0,0.007439803332090378,1.0
im107,0.75,convnext_perceptual,0.0,-19.126312255859375,0.0
im107,0.75,dinov3_perceptual,0.0,0.00040339119732379913,1.0
im107,1.0,huber_ab,9.5367431640625e-07,0.2831697463989258,1.0
im107,1.0,gradient_ab,9.5367431640625e-07,-0.5030632019042969,0.0
im107,1.0,lpips_vgg,9.5367431640625e-07,0.003962278366088867,1.0
im107,1.0,convnext_perceptual,9.5367431640625e-07,4.085784912109375,1.0
im107,1.0,dinov3_perceptual,9.5367431640625e-07,-1.8617138266563416e-05,0.0
im109,0.25,huber_ab,-4.76837158203125e-07,0.00840216875076294,1.0
im109,0.25,gradient_ab,-4.76837158203125e-07,-0.24911463260650635,0.0
im109,0.25,lpips_vgg,-4.76837158203125e-07,-0.0037442538887262344,0.0
im109,0.25,convnext_perceptual,-4.76837158203125e-07,-14.21244740486145,0.0
im109,0.25,dinov3_perceptual,-4.76837158203125e-07,-0.0016838131996337324,0.0
im109,0.5,huber_ab,-4.76837158203125e-07,0.09974980354309082,1.0
im109,0.5,gradient_ab,-4.76837158203125e-07,-0.4982292652130127,0.0
im109,0.5,lpips_vgg,-4.76837158203125e-07,-0.007348125800490379,0.0
im109,0.5,convnext_perceptual,-4.76837158203125e-07,-53.398491859436035,0.0
im109,0.5,dinov3_perceptual,-4.76837158203125e-07,-0.006478058756329119,0.0
im109,0.75,huber_ab,4.76837158203125e-07,0.2959423065185547,1.0
im109,0.75,gradient_ab,4.76837158203125e-07,-0.7473439574241638,0.0
im109,0.75,lpips_vgg,4.76837158203125e-07,-0.009216871112585068,0.0
im109,0.75,convnext_perceptual,4.76837158203125e-07,-147.38409042358398,0.0
im109,0.75,dinov3_perceptual,4.76837158203125e-07,-0.014001263538375497,0.0
im109,1.0,huber_ab,-1.9073486328125e-06,0.46596288681030273,1.0
im109,1.0,gradient_ab,-1.9073486328125e-06,-0.9964585304260254,0.0
im109,1.0,lpips_vgg,-1.9073486328125e-06,-0.012341562658548355,0.0
im109,1.0,convnext_perceptual,-1.9073486328125e-06,-156.75301361083984,0.0
im109,1.0,dinov3_perceptual,-1.9073486328125e-06,-0.02076071873307228,0.0
im110,0.25,huber_ab,0.0,-0.12905168533325195,0.0
im110,0.25,gradient_ab,0.0,-0.026518702507019043,0.0
im110,0.25,lpips_vgg,0.0,0.027606956660747528,1.0
im110,0.25,convnext_perceptual,0.0,20.939834594726562,1.0
im110,0.25,dinov3_perceptual,0.0,0.004528346471488476,1.0
im110,0.5,huber_ab,0.0,-0.6591310501098633,0.0
im110,0.5,gradient_ab,0.0,-0.053037405014038086,0.0
im110,0.5,lpips_vgg,0.0,0.05891580134630203,1.0
im110,0.5,convnext_perceptual,0.0,19.806446075439453,1.0
im110,0.5,dinov3_perceptual,0.0,0.006548243574798107,1.0
im110,0.75,huber_ab,0.0,-1.1897640228271484,0.0
im110,0.75,gradient_ab,0.0,-0.07955610752105713,0.0
im110,0.75,lpips_vgg,0.0,0.06961940228939056,1.0
im110,0.75,convnext_perceptual,0.0,-3.3579254150390625,0.0
im110,0.75,dinov3_perceptual,0.0,0.004856325685977936,1.0
im110,1.0,huber_ab,0.0,-1.7005424499511719,0.0
im110,1.0,gradient_ab,0.0,-0.10607492923736572,0.0
im110,1.0,lpips_vgg,0.0,0.05686560273170471,1.0
im110,1.0,convnext_perceptual,0.0,-36.171905517578125,0.0
im110,1.0,dinov3_perceptual,0.0,-0.0003324747085571289,0.0
im111,0.25,huber_ab,2.384185791015625e-07,0.019502341747283936,1.0
im111,0.25,gradient_ab,2.384185791015625e-07,-0.2759742736816406,0.0
im111,0.25,lpips_vgg,2.384185791015625e-07,-0.006919596344232559,0.0
im111,0.25,convnext_perceptual,2.384185791015625e-07,-13.832571029663086,0.0
im111,0.25,dinov3_perceptual,2.384185791015625e-07,-0.0007904623635113239,0.0
im111,0.5,huber_ab,9.5367431640625e-07,0.05553436279296875,1.0
im111,0.5,gradient_ab,9.5367431640625e-07,-0.5519485771656036,0.0
im111,0.5,lpips_vgg,9.5367431640625e-07,-0.01849142462015152,0.0
im111,0.5,convnext_perceptual,9.5367431640625e-07,-48.23680114746094,0.0
