loss,n_sources,semantic_win_fraction,ci_low,ci_high
huber_ab,154,0.6103896103896104,0.5454545454545454,0.672077922077922
gradient_ab,154,0.11688311688311688,0.07142857142857142,0.16883116883116883
lpips_vgg,154,0.4090909090909091,0.3457792207792208,0.47564935064935066
convnext_perceptual,154,0.237012987012987,0.18831168831168832,0.28733766233766234
dinov3_perceptual,154,0.31006493506493504,0.25482954545454545,0.36367694805194783
