scope,loss_a,loss_b,n,n_valid,mean_cosine,median_cosine,std_cosine
all,convnext_perceptual,dinov3_perceptual,3696,3696,0.004299688720962797,0.0031519512841814306,0.012301999083311475
all,gradient_ab,convnext_perceptual,3696,3696,0.002877069923226826,0.0025955527497529577,0.004797356261479037
all,gradient_ab,dinov3_perceptual,3696,3696,0.014147473640486742,0.013253059053439441,0.008330930571561538
all,gradient_ab,lpips_vgg,3696,3696,0.02450024859517129,0.023595595556788466,0.011473394104307262
all,huber_ab,convnext_perceptual,3696,3696,0.0014380534930874588,0.0009717603554920567,0.001843954099057359
all,huber_ab,dinov3_perceptual,3696,3696,0.050020243810788206,0.038548878236471844,0.04131513081880293
all,huber_ab,gradient_ab,3696,3696,0.1171059446397317,0.09699323769203697,0.07184118871325804
all,huber_ab,lpips_vgg,3696,3696,0.1190142458596918,0.11454389329453463,0.05502719823065399
all,lpips_vgg,convnext_perceptual,3696,3696,0.003077175819086758,0.002435706579151824,0.008474218756725178
all,lpips_vgg,dinov3_perceptual,3696,3696,0.05623760768499374,0.04972553249182789,0.03649314986041614
color_bleeding,convnext_perceptual,dinov3_perceptual,616,616,0.006151104682077503,0.0047577316185043825,0.012480447966280731
color_bleeding,gradient_ab,convnext_perceptual,616,616,0.004069382875989701,0.0036932869876115256,0.004232407056845515
color_bleeding,gradient_ab,dinov3_perceptual,616,616,0.01990383784637844,0.019855481335038047,0.008002261520564371
color_bleeding,gradient_ab,lpips_vgg,616,616,0.03568816805076154,0.035347053053506286,0.010845389750945214
color_bleeding,huber_ab,convnext_perceptual,616,616,0.0034322408565134596,0.002758436837690729,0.0028867285660891307
color_bleeding,huber_ab,dinov3_perceptual,616,616,0.09921257454484068,0.09043001117993364,0.053709858791780446
color_bleeding,huber_ab,gradient_ab,616,616,0.23365513079226594,0.22569947928568657,0.048173958530443234
color_bleeding,huber_ab,lpips_vgg,616,616,0.16892315588267193,0.17332982348158463,0.059230065108117236
color_bleeding,lpips_vgg,convnext_perceptual,616,616,0.004410217720274425,0.0033472841472663526,0.008921399189637002
color_bleeding,lpips_vgg,dinov3_perceptual,616,616,0.08137041860174683,0.07970606528661138,0.039063232314174946
low_saturation,convnext_perceptual,dinov3_perceptual,616,616,0.0024723759008489776,0.0014216929949648419,0.011385109050273456
low_saturation,gradient_ab,convnext_perceptual,616,616,0.004833988276677036,0.004500192282580617,0.005560511252031914
low_saturation,gradient_ab,dinov3_perceptual,616,616,0.013828786841964156,0.012851662241820373,0.008619040965348178
low_saturation,gradient_ab,lpips_vgg,616,616,0.02334757853705448,0.02329470767601183,0.009208555091357477
low_saturation,huber_ab,convnext_perceptual,616,616,0.0006572095884261238,0.0005506979077381359,0.0008585695965513147
low_saturation,huber_ab,dinov3_perceptual,616,616,0.03364694358533601,0.025200579725502284,0.029944370585503557
low_saturation,huber_ab,gradient_ab,616,616,0.07675305562558371,0.07465595356658017,0.03906949293662913
low_saturation,huber_ab,lpips_vgg,616,616,0.08705402448396322,0.08794956520066072,0.03835740851984203
low_saturation,lpips_vgg,convnext_perceptual,616,616,0.0018175956566204429,0.0012825017173188496,0.00973251067494138
low_saturation,lpips_vgg,dinov3_perceptual,616,616,0.05745514192887454,0.050888638631490186,0.03661765127088532
plausible_alternative_colorization,convnext_perceptual,dinov3_perceptual,616,616,0.003890519241491162,0.0030890125760761524,0.012675658400430691
plausible_alternative_colorization,gradient_ab,convnext_perceptual,616,616,0.00196583928592242,0.002217054045747344,0.005339297384415122
plausible_alternative_colorization,gradient_ab,dinov3_perceptual,616,616,0.013790914586742996,0.013198776504812996,0.006393597164038361
plausible_alternative_colorization,gradient_ab,lpips_vgg,616,616,0.022330114708145776,0.021399975546580848,0.007775256001111531
plausible_alternative_colorization,huber_ab,convnext_perceptual,616,616,0.0011168718484033716,0.000785557219242828,0.0015213280499674112
plausible_alternative_colorization,huber_ab,dinov3_perceptual,616,616,0.04914121528193908,0.03970920126506853,0.035836262283617894
plausible_alternative_colorization,huber_ab,gradient_ab,616,616,0.13064590299204817,0.1263466803089884,0.06502243965509166
plausible_alternative_colorization,huber_ab,lpips_vgg,616,616,0.10692775469947303,0.10663775136086681,0.045088491575171044
plausible_alternative_colorization,lpips_vgg,convnext_perceptual,616,616,0.002711967746064456,0.0020313580393322896,0.008713260524843005
plausible_alternative_colorization,lpips_vgg,dinov3_perceptual,616,616,0.060206421689810455,0.056020753204757634,0.03638818034971624
semantically_wrong_color,convnext_perceptual,dinov3_perceptual,616,616,0.0036182755589117335,0.0026515569755128318,0.011595414658462123
semantically_wrong_color,gradient_ab,convnext_perceptual,616,616,0.0031184197667251186,0.0027708461697680993,0.004491942359261344
semantically_wrong_color,gradient_ab,dinov3_perceptual,616,616,0.011244057085300126,0.011093209687286002,0.005770271302258495
semantically_wrong_color,gradient_ab,lpips_vgg,616,616,0.018390035044417028,0.01814743994565211,0.00948070003245158
semantically_wrong_color,huber_ab,convnext_perceptual,616,616,0.0009839889393622786,0.0007185299328147255,0.0011440790985208257
semantically_wrong_color,huber_ab,dinov3_perceptual,616,616,0.039039960205601916,0.03252176445405322,0.028277809692143507
semantically_wrong_color,huber_ab,gradient_ab,616,616,0.08051647477669663,0.07249615580539903,0.03897560086475052
semantically_wrong_color,huber_ab,lpips_vgg,616,616,0.11194029198749085,0.10892338708928731,0.04976268118714056
semantically_wrong_color,lpips_vgg,convnext_perceptual,616,616,0.002088375583713576,0.0015373624411033262,0.0076271668415143976
semantically_wrong_color,lpips_vgg,dinov3_perceptual,616,616,0.038757669835471346,0.03528628889766337,0.02518726670865281
subtle_color_error,convnext_perceptual,dinov3_perceptual,616,616,0.006192403598579272,0.005151791742857783,0.013015124759185813
subtle_color_error,gradient_ab,convnext_perceptual,616,616,0.0017387579744405689,0.001650111297547682,0.0037284342381724836
subtle_color_error,gradient_ab,dinov3_perceptual,616,616,0.009811296448386063,0.008670685486473782,0.0074257013698791645
subtle_color_error,gradient_ab,lpips_vgg,616,616,0.01955369521466276,0.019247401908572596,0.010030863752281738
subtle_color_error,huber_ab,convnext_perceptual,616,616,0.001476721519349894,0.0012029424543162056,0.0011091977291484549
subtle_color_error,huber_ab,dinov3_perceptual,616,616,0.04065447578384182,0.03535642705641414,0.025757850658771963
subtle_color_error,huber_ab,gradient_ab,616,616,0.08900615530506764,0.08517856376830804,0.036002367367558
subtle_color_error,huber_ab,lpips_vgg,616,616,0.12814881182031923,0.12651926414102388,0.04947594347442646
subtle_color_error,lpips_vgg,convnext_perceptual,616,616,0.004168249188652105,0.003484134100242017,0.00834352714001945
subtle_color_error,lpips_vgg,dinov3_perceptual,616,616,0.05821519498684739,0.05201241132813663,0.03505189693340483
wrong_hue,convnext_perceptual,dinov3_perceptual,616,616,0.0034734533438681363,0.0024283854889266838,0.012102469929546463
wrong_hue,gradient_ab,convnext_perceptual,616,616,0.0015360313596061111,0.001467129298151296,0.004175460928974838
wrong_hue,gradient_ab,dinov3_perceptual,616,616,0.016305949034148677,0.016241625726456474,0.009139557496204279
wrong_hue,gradient_ab,lpips_vgg,616,616,0.027691900015986162,0.027200531722114268,0.011543775441412283
wrong_hue,huber_ab,convnext_perceptual,616,616,0.0009612882064696252,0.0008003365641743386,0.0011629050098964308
wrong_hue,huber_ab,dinov3_perceptual,616,616,0.038426293463169746,0.03343260426350135,0.026104403504489993
wrong_hue,huber_ab,gradient_ab,616,616,0.0920589483467281,0.08647389041426798,0.04388005050643963
wrong_hue,huber_ab,lpips_vgg,616,616,0.11109143628423249,0.10836411962831771,0.04875046693729975
wrong_hue,lpips_vgg,convnext_perceptual,616,616,0.0032666490191955444,0.0027884932667170503,0.00686667012565468
wrong_hue,lpips_vgg,dinov3_perceptual,616,616,0.04142079906721185,0.03782505336460519,0.027544308118780926
